#GOODS
vnum             1
Name             barley~
unit             dustone
Code             0
weight           2
cost             100
Life             -1
Market           0
End

#GOODS
vnum             2
Name             buckwheat~
unit             dustone
Code             0
weight           2
cost             50
Life             -1
Market           0
End

#GOODS
vnum             3
Name             chick peas~
unit             dustone
Code             0
weight           2
cost             300
Life             -1
Market           0
End

#GOODS
vnum             4
Name             lentils~
unit             dustone
Code             0
weight           2
cost             200
Life             -1
Market           0
End

#GOODS
vnum             5
Name             millet~
unit             dustone
Code             0
weight           2
cost             30
Life             -1
Market           0
End

#GOODS
vnum             6
Name             oats~
unit             dustone
Code             0
weight           2
cost             70
Life             -1
Market           0
End

#GOODS
vnum             7
Name             rice~
unit             dustone
Code             0
weight           2
cost             500
Life             -1
Market           0
End

#GOODS
vnum             8
Name             rye~
unit             dustone
Code             0
weight           2
cost             70
Life             -1
Market           0
End

#GOODS
vnum             9
Name             wheat berries~
unit             dustone
Code             0
weight           2
cost             200
Life             -1
Market           0
End

#GOODS
vnum             10
Name             floured barley~
unit             sack
Code             1
weight           5
cost             200
Life             -1
Market           0
End

#GOODS
vnum             11
Name             buckwheat flour~
unit             sack
Code             1
weight           5
cost             100
Life             -1
Market           0
End

#GOODS
vnum             12
Name             floured rye~
unit             sack
Code             1
weight           5
cost             150
Life             -1
Market           0
End

#GOODS
vnum             13
Name             wheat flour~
unit             sack
Code             1
weight           5
cost             300
Life             -1
Market           0
End

#GOODS
vnum             14
Name             canvas~
unit             bolt
Code             2
weight           4
cost             30
Life             -1
Market           0
End

#GOODS
vnum             15
Name             cotton~
unit             bolt
Code             2
weight           4
cost             80
Life             -1
Market           0
End

#GOODS
vnum             16
Name             wool flannel~
unit             bolt
Code             2
weight           4
cost             24
Life             -1
Market           0
End

#GOODS
vnum             17
Name             homespun~
unit             bolt
Code             2
weight           4
cost             15
Life             -1
Market           0
End

#GOODS
vnum             18
Name             lace~
unit             tenspan
Code             2
weight           1
cost             500
Life             -1
Market           0
End

#GOODS
vnum             19
Name             linen~
unit             bolt
Code             2
weight           4
cost             80
Life             -1
Market           0
End

#GOODS
vnum             20
Name             raw wool~
unit             stone
Code             2
weight           1
cost             2
Life             -1
Market           0
End

#GOODS
vnum             21
Name             sailcloth~
unit             tenspan
Code             2
weight           1
cost             10
Life             -1
Market           0
End

#GOODS
vnum             22
Name             silk~
unit             tenspan
Code             2
weight           1
cost             700
Life             -1
Market           0
End

#GOODS
vnum             23
Name             mattress ticking~
unit             tenspan
Code             2
weight           1
cost             100
Life             -1
Market           0
End

#GOODS
vnum             24
Name             pillow ticking~
unit             tenspan
Code             2
weight           1
cost             80
Life             -1
Market           0
End

#GOODS
vnum             25
Name             velvet~
unit             tenspan
Code             2
weight           1
cost             300
Life             -1
Market           0
End

#GOODS
vnum             26
Name             wool~
unit             bolt
Code             2
weight           4
cost             100
Life             -1
Market           0
End

#GOODS
vnum             27
Name             bear~
unit             fur
Code             3
weight           12
cost             500
Life             -1
Market           0
End

#GOODS
vnum             28
Name             deer~
unit             hide
Code             3
weight           10
cost             400
Life             -1
Market           0
End

#GOODS
vnum             29
Name             red fox~
unit             hide
Code             3
weight           2
cost             1400
Life             -1
Market           0
End

#GOODS
vnum             30
Name             white fox~
unit             hide
Code             3
weight           2
cost             1700
Life             -1
Market           0
End

#GOODS
vnum             31
Name             horse~
unit             hide
Code             3
weight           13
cost             300
Life             -1
Market           0
End

#GOODS
vnum             32
Name             jaguar~
unit             hide
Code             3
weight           6
cost             2500
Life             -1
Market           0
End

#GOODS
vnum             33
Name             leather~
unit             hide
Code             3
weight           6
cost             200
Life             -1
Market           0
End

#GOODS
