#MARKET
Vnum             1
Name             Midgaard
Heart            950 1174
Size             40
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             2
Name             Thalos
Heart            940 1296
Size             30
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             3
Name             Rome
Heart            1064 1216
Size             50
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             4
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             5
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             6
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             7
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             8
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             9
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             10
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             11
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#MARKET
Vnum             12
Name             Noname
Heart            0 0
Size             0
Var_real_clos    100
Var_real_prod    100
Var_real_price   100
End

#END
